"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"C1678","RALN","ND","CA","0","0","0","0","0","0","0,55","1"
"C1683","RALN","ND","CA","0","0","0","0","0","0","0,08","0"
"C1712","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1713","RALN","ND","CA","0","0","0","0","0","0","3,2","1,2"
"C1714","RALN","ND","CA","0","0,03","0","0","0","0","0","0"
"C1721","RALN","ND","CA","0","0","0","0","0","0","5,25","2,25"
"C1729","RALN","ND","CA","0","0","0","0","0","0","20,78","8,66"
"C1731","RALN","ND","CA","3,33","2,69","0","0","0","0","0","0,5"
"C1738","RALN","ND","CA","0","0","0","0","0","0","7","1"
"C8257","RALN","ND","CA","0","0","0","0","0","0","7","3"
"C1746","RALN","ND","CA","0","3","0","0","0","0","0","3"
"C1755","RALN","ND","CA","0","0","0","0","0","0","6","0"
"C1756","RALN","ND","CA","0","0","0","0","0","0","0,58","0,46"
"C1772","RALN","ND","CA","4","3","0","0","0","0","0","0"
"C1783","RALN","ND","CA","0","0","0","0","0","0","2","9"
"C1786","RALN","ND","CA","0","0","0","0","0","0","1","0,92"
"C1797","RALN","ND","CA","0","0","0","0","0","0","19","28"
"C1799","RALN","ND","CA","0","0,57","0","0","0","0","3,7","2,83"
"C1808","RALN","ND","CA","0","0","0","0","0","0","1,19","0"
"C1812","RALN","ND","CA","0","0","0","0","0","0","7,45","0"
"C1834","RALN","ND","CA","0","1","0","0","0","0","0","0"
"C1856","RALN","ND","CA","0","1","0","0","0","0","0","0"
"C1858","RALN","ND","CA","3,68","2,01","0","0","0","0","0","1,65"
"C1993","RALN","ND","CA","0","0,5","0","0","0","0","0","0"
"C2000","RALN","ND","CA","0,26","0","0","0","0","0,38","0","0"
"C1837","RALN","ND","CA","1","1,08","0","0","0","0","0","0"
"C1843","RALN","ND","CA","0,5","0","0","0","0","0","0","0"
"C1865","PRTN","ND","CA","0","0,51","0","0","0","0","0","0"
"C1869","RALN","ND","CA","0","0","0","0","0","0,35","0","0"
"C1872","RALN","ND","CA","0","0","0","0","0","0","6,48","0,87"
"C1881","RALN","ND","CA","0","0","0","0","0","0","0","4"
"C1890","RALN","ND","CA","0,56","0","0","0","0","0","0","2,14"
"C1893","RALN","ND","CA","0","2","0","0","0","0","0","0"
"C1894","RALN","ND","CA","0","0","0","0","0,62","0","0","0"
"C1896","RALN","ND","CA","0","0","0","0","0","0","7,22","0"
"C1933","RALN","ND","CA","0","0","0","0","0","0","8","5"
"C1937","PRTN","ND","CA","0","0,26","0","0","0","0","0","0"
"C1934","PRTN","ND","CA","0","0,81","0","0","0","0","0","0"
"C1940","RALN","ND","CA","0","0","0","0","2,5","0","1,5","0"
"C1823","RALN","ND","CA","10","6,67","0","0","0","0","2,78","5,35"
"C1951","RALN","ND","CA","0","0","0","0","0","0","2","3"
"C1952","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1965","RALN","ND","CA","0","0","0","0","0","0","1","1"
"C1989","PRBZ","ND","CA","0","0,32","0","0","0","0","0,6","0"
"C2014","RALN","ND","CA","1","0","0","0","0","0","0","8"
"C2029","RALN","ND","CA","0,5","1","0","0","0","0","0","0"
"C2042","RALN","ND","CA","0","0","0","0","0","0","3,67","1"
"C2056","RALN","ND","CA","0","0","0","0","0","0","0","0,6"
"C2057","RALN","ND","CA","0","0","0","0","0","0","0","1,68"
"C2058","RALN","ND","CA","0","0","0","0","0","0","0","0,55"
"C1870","RALN","ND","CA","0","0","0","0","0","0","4","17"
"C2069","RALN","ND","CA","0,8","0,7","0","0","0","0","2,24","2,24"
"C2070","RALN","ND","CA","0","0","0","0","0","0","9","10"
"C2071","RALN","ND","CA","0,11","0","0","0","0","0","9,06","16,23"
"C2075","RALN","ND","CA","0","0","0","0","0","0","0","0,92"
"C2013","RALN","ND","CA","0","0","0","0","0","0","3","6"
"C2088","PRTN","ND","CA","0,55","0","0","0","0","0","0","0"
"C2093","RALN","ND","CA","0","0","0","0","0","0","2","6"
"C2094","PRTN","ND","CA","0","0,42","0","0","0","0","0","0"
"C2099","REFR","ND","CA","0","0","0","0","0","0","0,59","0"
"C2125","RALN","ND","CA","0,58","1,33","0","0","0","0","0","0"
"C2127","RALN","ND","CA","0","0","0","0","0,75","0,06","20,42","1"
"C2146","RALN","ND","CA","0","0","0","0","0","0","0,5","0"
"C2157","PRTN","ND","CA","0","0,55","0","0","0","0","0","0"
"C2160","RALN","ND","CA","0","0","0","0","0","0","0,55","2,23"
"C2166","RALN","ND","CA","4","15","0","0","0","0","0","0"
"C2171","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2175","RALN","ND","CA","0","0","0","0","0","0","6","1"
"C2200","RALN","ND","CA","0","0","0","0","0","0","2,52","0,32"
"C2204","RALN","ND","CA","0","0","0","0","0","0,09","0","0"
"C2206","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2222","RALN","ND","CA","0","0","0","0","0","0","1","3"
"C2233","RALN","ND","CA","0","0","0","0","0","0","3","1"
"C2235","REFR","ND","CA","0","0","0","0","0","0","5,33","0,93"
"C2240","RALN","ND","CA","0","0","0","0","0","0","12","15"
"C2247","RALN","ND","CA","3,67","4","0","0","0","0","1,11","1,66"
"C2261","RALN","ND","CA","0","0","0","0","0","0","1","10"
"C2281","RALN","ND","CA","0","0","0","0","0","0","0","3"
"C2285","RALN","ND","CA","0","0","0","0","0,41","0","0","0"
"C2294","RALN","ND","CA","0","0,2","0","0","0","0","0","0"
"C2307","PRBZ","ND","CA","0,29","1,75","0","0","0","0","0","0"
"C2309","RALN","ND","CA","0,14","0","0","0","0","0","0","0"
"C2320","RALN","ND","CA","4,75","12,24","0","0","0","0","2,45","4,64"
"C2326","RALN","ND","CA","0","0","0","0","0","0","13","1"
"C2338","PRTN","ND","CA","0","0,55","0","0","0","0","0","0"
"C2339","RALN","ND","CA","0","0","0","0","0","0","3,33","0"
"C2340","RALN","ND","CA","5,65","0","0","0","0","0","0,55","1,1"
"C2341","RALN","ND","CA","0","0","0","0","0","0","4","0"
"C2344","PRTN","ND","CA","0","3","0","0","0","0","0","0"
"C2348","RALN","ND","CA","0","0","0","0","0","0","1,58","0,68"
"C2351","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C2353","RALN","ND","CA","0","0","0","0","0","0","8","0"
"C2362","RALN","ND","CA","0","0","0","0","0,5","0","0","0"
"C2366","RALN","ND","CA","0","0","0","0","0","0","2","19"
"C2367","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C2372","RALN","ND","CA","0","0","0","0","0","0","1","0,96"
"C2380","RALN","ND","CA","0","0","0","0","0","0","0,25","0"
"C2387","RALN","ND","CA","0","0","0","0","0","0","0,88","0,56"
"C2385","RALN","ND","CA","0","0","0","0","0","0","13","7"
"C2392","PRTN","ND","CA","0","2,08","0","0","0","0","0","0"
"C2397","RALN","ND","CA","0","0","0","0","0","0","3","4"
