"Istituzione","Contratto","Categoria Partenza","Qualifica Partenza","Categoria Arrivo","Qualifica Arrivo","Tipo Passaggio","Numero Passaggi"
"J8628","SSNA","SI","S16020","LA","A14005","V","1"
"J8630","SSNA","SI","S16020","LA","A14005","V","1"
"U9471","SSNA","SI","S16020","LA","A13018","V","1"
"U10182","SSNA","SI","S16020","LA","A13018","V","1"
"U10515","SSNA","SI","S16020","LA","A13018","V","1"
"U9574","SSNA","SI","S16020","LA","A13018","V","1"
"U9514","SSNA","SI","S16020","LA","A13018","V","1"
"U11894","SSNA","SI","S16020","LA","A13018","V","2"
"U9514","SSNA","SI","S16020","LA","A12017","V","3"
"U10532","SSNA","SI","S14056","ST","S00062","V","1"
"U10812","SSNA","SI","S14056","LA","A14005","V","1"
"U9834","SSNA","SI","S14E52","LA","A14005","V","1"
"U10734","SSNA","SI","S14E52","LA","A14005","V","1"
"U10746","SSNA","SI","S14E52","LA","A12017","V","1"
"J10321","SSNA","ST","S18920","DS","SD0483","V","1"
"U9520","SSNA","ST","S18920","SV","S18921","V","2"
"U10857","SSNA","ST","S18920","LA","A12017","V","1"
"U9574","SSNA","ST","S16021","DS","SD0A12","V","1"
"U9444","SSNA","ST","S16021","DS","SD0A12","V","1"
"U10751","SSNA","ST","S16021","SI","S18023","V","1"
"U10532","SSNA","ST","S16021","SI","S16020","V","4"
"U10850","SSNA","ST","S16021","SI","S16020","V","5"
"J10944","SSNA","ST","S16021","SI","S16020","V","1"
"U10621","SSNA","ST","S16021","SV","S16022","V","1"
"U9631","SSNA","ST","S16021","SV","S16022","V","5"
"U9431","SSNA","ST","S16021","SV","S16022","V","2"
"AP9841","SSNA","ST","S16021","SV","S16022","V","1"
"U10509","SSNA","ST","S16021","SF","S16019","V","3"
"U9514","SSNA","ST","S16021","SF","S16019","V","3"
"AP9841","SSNA","ST","S16021","LT","T16026","V","1"
"U9535","SSNA","ST","S16021","LT","T14E59","V","1"
"U10327","SSNA","ST","S16021","LT","T13059","V","1"
"U9834","SSNA","ST","S16021","LA","A16028","V","1"
"U10621","SSNA","ST","S16021","LA","A16028","V","1"
"U10735","SSNA","ST","S16021","LA","A16028","V","1"
