ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ESONERI_INTERNO_70%_UOMINI;ESONERI_INTERNO_70%_DONNE
C765;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C873;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C3075;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C843;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1689;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C854;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C822;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C3087;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C6665;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C712;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C903;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C2953;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C685;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7425;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4689;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2297;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2306;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4399;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5576;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1609;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2055;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2049;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6147;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7123;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7824;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C592;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6131;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C2680;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7501;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4509;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4506;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C877;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6242;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1592;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C3718;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5564;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7606;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7456;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
N8685;RALN;FP;0D0103;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C2866;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C5795;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7372;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5693;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6016;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6132;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6163;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1509;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2625;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7883;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6459;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4387;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6371;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1751;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2597;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6247;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2200;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1893;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1986;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1773;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1497;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7981;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1888;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5448;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2389;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1512;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C8220;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C546;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1785;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2374;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2933;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C8085;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7840;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
