ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C3407;RALN;ND;CA;0,41;0;0;0;0;0;0;0
C3407;RALN;ND;CC;0,42;0;0;0;0;0;0;1,52
C3407;RALN;ND;CB;0,22;0;0;0;0;0;4,21;3,93
C3407;RALN;ND;CD;0,32;0;0;0;0;0;0;0,73
C7915;RALN;ND;CC;0;0;0,99;0;0;0;0;0
C3312;RALN;ND;CC;0;0,23;0;0;0;0;0;0
C3312;RALN;ND;PC;0;0;0;0;3;0;0;0
C535;RALN;ND;CD;0;1;0;0;0;0;0;0
OL13364;EPNE;ME;AT;0;0;0;0;1;1;0;0
C7383;PRTN;NF;CB;0,01;0,74;0;0;0;0;0;0
C7383;PRTN;NF;CA;0;1,42;0;0;0;0;0;0
C8073;RALN;ND;CB;0;0;0;0;0,04;0;0;0
C6484;RALN;ND;CB;0;0;0;0;0;0;0,55;16,66
IA14393;AFAM;AT;PA;0;0,46;0;0;0;0;0;0
OL14572;EPNE;ME;PC;0;0;0;0;0;1;0;0
C1345;RALN;ND;CB;0;0;0;0;0;0;0,41;0,04
Q9171;UNIV;ND;AL;3,04;41,88;0;0;0;0;0;0
Q9171;UNIV;ND;RC;6,24;8,26;0;0;0;0;0;0
Q9171;UNIV;ND;CC;0,42;0;0;0;0;0,5;0;0
C5705;RALN;ND;PC;10,58;6,3;0;0;0;0;0;0
C5705;RALN;ND;CC;1,55;0;0;0;0;0;0;0
C5705;RALN;ND;CD;0,86;0;0;0;0;0;0;0
RA69;RALN;ND;PC;9,1;2,7;0;0;0;0;0;0
Q9134;UNIV;ND;RC;38,12;30,16;0;0;0;0;0;0
Q9134;UNIV;ND;PC;6,23;3,16;0;0;0;0;0;0
Q9134;UNIV;ND;CD;0,38;2,17;0;0;0;0;0;0
Q9134;UNIV;ND;CC;0,67;1,36;0;0;0;0;0;0
C6530;RALN;ND;CC;1;1;0;0;0;0;0;0
C8245;RALN;ND;CC;0,66;0,37;0;0;0;0;0;0
C8245;RALN;ND;CD;2,42;1;0;0;0;0;0;0
C4194;RALN;ND;CD;1;7;0;0;0;0;0;0
C1483;RALN;ND;CC;1;0;0;0;0;0;0;0
C1776;RALN;ND;CC;0;0;0;0;0;1;0;0
C840;RALN;ND;PC;1;3;0;0;0;0;1;3
C840;RALN;ND;CD;0,23;0,27;0;0;0;0;0;0
