"Istituzione","Contratto","Categoria","Qualifica","Causale Assenza","Form Uomini","Form Donne","Form Media Uomini","Form Media Donne"
"C1615","RALN","CD","052486","Z01","6","0","6","0"
"C1615","RALN","CD","052487","Z01","12","7","12","7"
"C1615","RALN","CD","050000","Z01","13","3","1,181818182","1"
"C1615","RALN","CD","049000","Z01","5","8","2,5","2"
"C1615","RALN","CD","057000","Z01","3","0","0,75","0"
"C1615","RALN","CC","043000","Z01","1","0","0,076923077","0"
"C1615","RALN","CC","042000","Z01","2","2","1","2"
"C1615","RALN","CB","054000","Z01","1","0","0,142857143","0"
"C1620","RALN","FP","0D0103","Z01","0","2","0","2"
"C1620","RALN","CD","050000","Z01","0","5","0","0"
"C1620","RALN","CD","057000","Z01","1","0","1","0"
"C1620","RALN","CC","046000","Z01","0","5","0","5"
"C1620","RALN","CC","045000","Z01","1","0","0","0"
"C1620","RALN","CC","043000","Z01","0","2","0","0"
"C1620","RALN","CC","056000","Z01","5","2","5","2"
"C1620","RALN","CB","037492","Z01","0","1","0","1"
"C1620","RALN","CB","036494","Z01","0","2","0","0"
"C1620","RALN","CB","055000","Z01","0","2","0","2"
"C1621","RALN","FP","0D0102","Z01","2","0","2","0"
"C1621","RALN","CD","0D6A00","Z01","1","0","1","0"
"C1621","RALN","CD","049000","Z01","9","0","9","0"
"C1621","RALN","CD","057000","Z01","7","1","0","1"
"C1621","RALN","CC","046000","Z01","1","1","0,166666667","0,125"
"C1621","RALN","CC","045000","Z01","5","0","2,5","0"
"C1621","RALN","CC","042000","Z01","3","1","0,6","0,5"
"C1621","RALN","CC","056000","Z01","2","0","0,5","0"
"C1621","RALN","CB","034000","Z01","1","0","0,333333333","0"
"C1621","RALN","CB","054000","Z01","11","26","0,47826087","0,866666667"
"C1622","REFR","CD","051000","Z01","0","1","0","1"
"C1622","REFR","CC","043000","Z01","3","0","1,5","0"
"C1622","REFR","CC","040000","Z01","1","2","0","2"
"C1622","REFR","CC","0PL909","Z01","2","0","1","0"
"C1625","RALN","FP","0D0103","Z01","0","10","0","0"
"C1625","RALN","CD","0D6A00","Z01","1","3","0,25","3"
"C1625","RALN","CD","052486","Z01","18","0","6","0"
"C1625","RALN","CD","058000","Z01","8","10","1,333333333","1,25"
"C1625","RALN","CD","049000","Z01","6","0","2","0"
"C1625","RALN","CD","057000","Z01","0","4","0","0,666666667"
"C1625","RALN","CC","046000","Z01","4","2","1,333333333","0,5"
"C1625","RALN","CC","045000","Z01","1","3","0,333333333","0,5"
"C1625","RALN","CC","042000","Z01","0","12","0","0,4"
"C1625","RALN","CC","056000","Z01","6","9","0,75","0,529411765"
"C1625","RALN","CB","036494","Z01","1","0","0,25","0"
"C1627","RALN","CC","045000","Z01","0","2","0","0,333333333"
"C1627","RALN","CC","056000","Z01","1","2","0,333333333","0,25"
"C1627","RALN","CB","038490","Z01","0","1","0","1"
"C1628","RALN","CD","0D6A00","Z01","0","5","0","5"
"C1628","RALN","CD","058000","Z01","1","0","1","0"
"C1628","RALN","CC","046000","Z01","0","2","0","0,5"
"C1630","RALN","CD","057000","Z01","0","1","0","0,5"
"C1630","RALN","CC","056000","Z01","0","7","0","1,166666667"
"C1630","RALN","CB","0B7A00","Z01","0","2","0","0"
"C1630","RALN","CB","037492","Z01","0","2","0","1"
"C1630","RALN","CB","036494","Z01","0","1","0","1"
"C1630","RALN","CB","055000","Z01","0","2","0","0,666666667"
"C1633","RALN","CD","050000","Z01","2","0","2","0"
"C1633","RALN","CD","049000","Z01","0","1","0","0,5"
"C1633","RALN","CC","045000","Z01","1","0","1","0"
"C1635","RALN","CD","0D6A00","Z01","0","1","0","1"
"C1635","RALN","CC","043000","Z01","2","0","2","0"
"C1636","RALN","FP","0D0103","Z01","0","7","0","7"
"C1636","RALN","CD","0D6A00","Z01","4","0","4","0"
"C1636","RALN","CD","052486","Z01","2","14","2","14"
"C1636","RALN","CD","051488","Z01","0","21","0","10,5"
"C1636","RALN","CD","058000","Z01","4","10","4","5"
"C1636","RALN","CD","050000","Z01","0","4","0","4"
"C1636","RALN","CD","057000","Z01","6","8","6","2,666666667"
"C1636","RALN","CC","046000","Z01","0","1","0","0,5"
"C1636","RALN","CC","045000","Z01","0","4","0","2"
"C1636","RALN","CC","043000","Z01","2","1","0,666666667","0,5"
"C1636","RALN","CC","042000","Z01","5","5","1,25","1,25"
"C1636","RALN","CC","056000","Z01","7","7","3,5","1,75"
"C1636","RALN","CB","0B7A00","Z01","0","5","0","1,25"
"C1636","RALN","CB","038490","Z01","1","0","1","0"
"C1636","RALN","CB","037493","Z01","1","1","1","1"
"C1636","RALN","CB","036494","Z01","0","2","0","1"
"C1636","RALN","CB","055000","Z01","6","8","1,5","1,6"
"C1637","RALN","CD","050000","Z01","0","3","0","3"
"C1637","RALN","CD","049000","Z01","1","0","1","0"
"C1637","RALN","CC","045000","Z01","1","6","1","3"
