ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
IP10709;RALN;CB;054000;CB;032000;O;1
C7065;PRBZ;CB;000726;CB;000725;O;1
M8653;MNST;2A;034F03;2A;035F04;O;516
M8653;MNST;2A;030F01;2A;032F02;O;105
M8653;MNST;3A;040F01;3A;041F02;O;255
M8653;MNST;2A;035F04;2A;035F05;O;222
M8653;MNST;1A;024F02;1A;024F03;O;12
M8653;CDIP;E1;0D0108;E1;0D0107;O;21
M8653;MNST;3A;042F03;3A;043F04;O;69
M8653;MNST;3A;041F02;3A;042F03;O;230
M8653;MNST;2A;032F02;2A;034F03;O;345
M8653;MNST;3A;044F06;3A;044F07;O;1
M8653;MNST;2A;035F05;2A;035F06;O;4
M8653;MNST;D2;0D0079;D1;0D0077;V;2
M8653;CDIP;E1;0D0107;E1;0D0109;O;15
M8653;MNST;3A;044F05;3A;044F06;O;19
M8653;MNST;3A;043F04;3A;044F05;O;73
M8653;CDIP;E1;0D0109;E1;0D0106;O;4
M8653;CDIP;E1;0D0110;E1;0D0108;O;16
M8653;MNST;1A;023F01;1A;024F02;O;2
C4378;RALN;CA;053000;CA;025000;O;1
C4378;RALN;CD;050000;CD;051489;O;1
C4378;RALN;CA;028000;CA;0A5000;O;2
C4378;RALN;CB;054000;CB;032000;O;1
C4378;RALN;CD;049000;CD;050000;O;1
C4378;RALN;CC;045000;CC;046000;O;3
C4378;RALN;CB;034000;CB;036495;O;1
C4378;RALN;CC;043000;CC;045000;O;2
C4378;RALN;CB;032000;CB;034000;O;1
C1073;RALN;CD;051489;CD;052487;O;3
C2238;RALN;CD;052487;CD;0D6000;O;1
C2238;RALN;CD;050000;CD;051489;O;1
N8735;RALN;CC;056000;CC;042000;O;3
N8735;RALN;CB;037492;CB;038490;O;1
N8735;RALN;CD;057000;CD;049000;O;1
N8735;RALN;CC;043000;CC;045000;O;3
C5677;REFR;CD;0D6000;DI;0D0099;V;1
C5677;REFR;CC;040000;CD;048000;V;1
U10509;SSNA;LT;T13059;LT;T12057;O;1
U10509;SSNA;SI;S16020;SI;S18023;O;1
U10509;SSNA;SI;S16020;LA;A13018;V;1
U10509;SSNA;MD;SD0036;MD;SD0035;O;3
U10509;SSNA;LT;T14007;LA;A14005;V;1
U10509;SSNA;LT;T12057;LA;A12017;V;3
U10509;SSNA;MD;SD0E34;MD;SD0E33;O;1
U10509;SSNA;SI;S18023;ST;S18920;V;1
U10509;SSNA;LT;T11008;LA;A11030;V;2
U10509;SSNA;DT;TD0A67;DA;AD0A31;V;1
U10509;SSNA;MD;SD0035;MD;SD0E33;O;1
U10509;SSNA;DP;PD0A09;DP;PD0010;O;1
C7688;RALN;CB;054000;CB;032000;O;1
UC10669;RALN;CC;043000;CC;045000;O;1
UC10669;RALN;CB;037492;CB;038490;O;1
UC10669;RALN;CB;055000;CB;036494;O;1
